,occurences_epa,articles_epa,frac_of_articles_epa,occurences_nepa,articles_nepa,frac_of_articles_nepa,_merge,enrich_in_epa
fluid,71,42,0.005580654,74,52,0.00104,both,5.366013206
suppress,56,50,0.006643635,68,62,0.00124,both,5.357770482
decreas,68,54,0.007175126,71,67,0.00134,both,5.354571813
comedian,124,99,0.013154398,140,123,0.00246,both,5.347316295
jerusalem,172,66,0.008769599,130,82,0.00164,both,5.347316295
potter,80,33,0.004384799,60,41,0.00082,both,5.347316295
strongli,70,69,0.009168217,99,86,0.00172,both,5.330358633
divers,157,137,0.018203561,205,171,0.00342,both,5.322678652
heavyweight,111,40,0.005314908,80,50,0.001,both,5.314908318
emphas,45,44,0.005846399,56,55,0.0011,both,5.314908318
earth,438,207,0.027504651,376,259,0.00518,both,5.309778097
aggress,56,55,0.007307999,73,69,0.00138,both,5.295651404
acknowledg,48,46,0.006112145,72,58,0.00116,both,5.269090143
criteria,53,42,0.005580654,61,53,0.00106,both,5.264767673
isra,305,99,0.013154398,175,125,0.0025,both,5.261759235
evolv,105,95,0.012622907,126,120,0.0024,both,5.25954469
mous,72,30,0.003986181,79,38,0.00076,both,5.244975314
dictat,40,37,0.00491629,69,47,0.00094,both,5.230095951
phenomenon,58,51,0.006776508,74,65,0.0013,both,5.212698542
significantli,82,80,0.010629817,104,102,0.00204,both,5.210694429
unifi,61,58,0.007706617,82,74,0.00148,both,5.20717369
percept,42,36,0.004783417,55,46,0.00092,both,5.199366833
poll,92,71,0.009433962,130,91,0.00182,both,5.18349575
pressur,139,108,0.014350252,186,139,0.00278,both,5.161961316
ident,204,165,0.021923997,247,213,0.00426,both,5.146478125
attent,161,151,0.020063779,207,195,0.0039,both,5.144558692
emot,73,58,0.007706617,100,75,0.0015,both,5.137744707
reproduct,59,34,0.004517672,61,44,0.00088,both,5.133718262
creatur,55,44,0.005846399,65,57,0.00114,both,5.128420307
un,105,67,0.008902471,123,87,0.00174,both,5.116362892
warm,101,50,0.006643635,81,65,0.0013,both,5.110488767
spark,42,40,0.005314908,65,52,0.00104,both,5.110488767
accus,106,93,0.012357162,141,121,0.00242,both,5.106265223
invad,62,53,0.007042254,73,69,0.00138,both,5.103082262
critic,890,643,0.085437151,1048,839,0.01678,both,5.091606151
manifest,38,36,0.004783417,55,47,0.00094,both,5.088742006
fat,102,49,0.006510763,93,64,0.00128,both,5.086533351
nomin,552,379,0.050358756,637,497,0.00994,both,5.066273271
gay,192,77,0.010231199,161,101,0.00202,both,5.064949758
bacteria,62,32,0.004251927,59,42,0.00084,both,5.061817446
negoti,81,70,0.00930109,114,92,0.00184,both,5.054939976
smoke,83,35,0.004650545,64,46,0.00092,both,5.054939976
presidenti,214,133,0.01767207,238,175,0.0035,both,5.049162902
guild,54,44,0.005846399,77,58,0.00116,both,5.039999267
longterm,48,44,0.005846399,58,58,0.00116,both,5.039999267
mental,117,72,0.009566835,133,95,0.0019,both,5.035176301
skin,106,72,0.009566835,136,95,0.0019,both,5.035176301
rabbit,42,25,0.003321818,55,33,0.00066,both,5.033057119
disord,185,78,0.010364071,168,103,0.00206,both,5.031102534
treati,159,99,0.013154398,232,131,0.00262,both,5.020762628
destruct,86,74,0.00983258,118,98,0.00196,both,5.016622647
abund,58,43,0.005713526,63,57,0.00114,both,5.0118653
voic,351,242,0.032155195,433,321,0.00642,both,5.008597402
rank,559,407,0.054079192,736,540,0.0108,both,5.007332605
asia,397,266,0.03534414,421,353,0.00706,both,5.006252169
violat,67,61,0.008105235,97,81,0.00162,both,5.003231595
sale,327,228,0.030294977,391,303,0.00606,both,4.99917119
renew,108,79,0.010496944,140,105,0.0021,both,4.998544727
domin,223,193,0.025644433,303,257,0.00514,both,4.989189228
chicken,78,24,0.003188945,60,32,0.00064,both,4.982726548
viru,64,27,0.003587563,77,36,0.00072,both,4.982726548
convict,121,92,0.012224289,171,123,0.00246,both,4.969223224
kid,152,86,0.011427053,150,115,0.0023,both,4.968283862
songwrit,213,173,0.022986978,271,232,0.00464,both,4.954090188
killer,85,41,0.005447781,64,55,0.0011,both,4.952528205
punish,54,41,0.005447781,70,55,0.0011,both,4.952528205
radiat,88,41,0.005447781,78,55,0.0011,both,4.952528205
moral,79,73,0.009699708,127,98,0.00196,both,4.948830449
displac,39,35,0.004650545,56,47,0.00094,both,4.947388062
regard,373,326,0.043316503,467,438,0.00876,both,4.944806255
io,55,32,0.004251927,58,43,0.00086,both,4.944100761
secular,56,46,0.006112145,80,62,0.00124,both,4.929148843
consol,107,43,0.005713526,71,58,0.00116,both,4.925453829
suicid,100,63,0.008370981,109,85,0.0017,both,4.924106236
alien,51,45,0.005979272,74,61,0.00122,both,4.901042506
lifestyl,48,45,0.005979272,66,61,0.00122,both,4.901042506
simultan,60,56,0.007440872,82,76,0.00152,both,4.895310293
genet,150,84,0.011161307,186,114,0.00228,both,4.895310293
fashion,173,120,0.015944725,248,163,0.00326,both,4.891019924
googl,90,36,0.004783417,83,49,0.00098,both,4.881038251
excess,51,47,0.006245017,67,64,0.00128,both,4.878919745
fatal,52,47,0.006245017,67,64,0.00128,both,4.878919745
cult,91,58,0.007706617,102,79,0.00158,both,4.877605735
internet,313,168,0.022322615,330,229,0.00458,both,4.873933392
revenu,95,85,0.01129418,152,116,0.00232,both,4.86818111
democraci,98,71,0.009433962,124,97,0.00194,both,4.862867146
domest,220,158,0.020993888,246,216,0.00432,both,4.859696263
pain,82,59,0.00783949,105,81,0.00162,both,4.839191215
confirm,137,131,0.017406325,196,180,0.0036,both,4.835090206
bollywood,89,48,0.00637789,70,66,0.00132,both,4.831734834
