page_id,page_len,page_touched
26922503,6618,20160715050144
2925890,1403,20160704163201
19368157,2762,20160717111726
15526034,2960,20160709200500
15715195,3021,20160703064912
22535136,2830,20160606003310
314522,28247,20160716161644
51084619,38715,20160717040824
7540258,42377,20160702083224
49861393,2880,20160703142608
31077893,1728,20160704163201
29403127,691,20160713164114
12361746,1957,20160711023856
31069697,2560,20160623144143
12630909,4779,20160704191912
29733176,3158,20160623144143
40082726,2112,20160712130428
45518353,1864,20160708235610
2425878,6789,20160704191912
23179466,6451,20160623144143
8031076,5391,20160712235751
22774324,4087,20160708225447
30743474,1227,20160712040731
2948330,24798,20160717135406
32886141,1796,20160711210621
19490828,813,20160708224524
22763838,7166,20160614064431
48671214,3313,20160612140740
11594115,1775,20160704191912
26812522,7083,20160717124759
24076652,1495,20160623144143
37734367,464,20160629140422
34489209,5699,20160623144143
18422881,2035,20160717054540
22317987,2210,20160704191912
44970190,17118,20160628003338
36449432,6789,20160711093010
44783283,2127,20160711125905
12974326,7733,20160715171815
1214262,3775,20160717121239
13352463,9793,20160712101242
8185946,30291,20160704191912
19037676,1743,20160716092024
23627100,3242,20160713160356
31353316,5043,20160623144143
33247248,932,20160606003310
48062104,1941,20160708235943
44052067,2502,20160623144143
1597976,14084,20160716220313
14552198,10971,20160711212825
44048607,492,20160601002519
35409114,1921,20160626062925
46527863,2942,20160616030838
42534554,852,20160629180102
